timestamp,tester,device,scenario,step,analyze_ok,stt_ok,fallback_used,latency_ms,outcome,note,tester_hash,device_hash
2026-04-21T09:02:00+09:00,tester_a,Pixel7,Scenario1,manual_text,true,,false,860,pass,typed_text_ok,bd7b9f0e648f,f389e328eac8
2026-04-21T09:06:00+09:00,tester_a,Pixel7,Scenario1,stt_record,true,true,false,1750,pass,profile=fast,bd7b9f0e648f,f389e328eac8
2026-04-21T09:10:00+09:00,tester_b,GalaxyS23,Scenario1,stt_record,true,true,false,1690,pass,profile=fast,f73d3dee73df,92a47f9b1185
2026-04-21T09:14:00+09:00,tester_c,iPhone14,Scenario1,stt_record,true,true,false,2140,pass,profile=balanced,51df1a952a00,bf9f23e05df6
2026-04-21T09:18:00+09:00,tester_d,Pixel8,Scenario2,stt_fallback,true,false,true,3200,pass,profile=balanced,5fa31567bb4f,181dd3846ee4
2026-04-21T09:22:00+09:00,tester_e,iPhone13,Scenario3,retry_after_network,true,true,false,2390,pass,profile=fast,1c23a7f81df3,474b44bda2db
2026-04-21T09:26:00+09:00,tester_f,GalaxyA54,Scenario1,manual_text,true,,false,800,pass,typed_text_ok,57af7281fa78,7d5cae174436
2026-04-21T09:30:00+09:00,tester_f,GalaxyA54,Scenario1,stt_record,true,true,false,1660,pass,profile=fast,57af7281fa78,7d5cae174436
2026-04-21T09:34:00+09:00,tester_g,Pixel6,Scenario4,short_audio,true,false,true,2440,pass,profile=fast,3aa103600566,de239da04abc
2026-04-21T09:38:00+09:00,tester_h,iPhone12,Scenario5,drilldown_state,true,,false,730,pass,state_restored,405875e6e774,9de12ff5bdf3
2026-04-21T09:42:00+09:00,tester_h,iPhone12,Scenario5,report_compare,true,,false,870,pass,compare_verified,405875e6e774,9de12ff5bdf3
2026-04-21T09:46:00+09:00,tester_i,GalaxyS24,Scenario6,export_csv,true,,false,1020,pass,export_ok,bbe95d8e6b64,10d865273040
2026-04-21T09:48:00+09:00,tester_i,GalaxyS24,Scenario6,export_pdf_server,true,,false,1440,pass,export_ok,bbe95d8e6b64,10d865273040
2026-04-21T09:52:00+09:00,tester_j,Pixel5,Scenario1,stt_record,true,true,false,1710,pass,profile=fast,5bc539df4dea,5f949b14bca5
2026-04-21T09:56:00+09:00,tester_k,iPhoneSE,Scenario1,stt_record,true,true,false,1930,pass,profile=balanced,f8012dd875f9,90c862a5cddf
2026-04-21T10:00:00+09:00,tester_l,GalaxyZ,Scenario2,stt_fallback,true,false,true,3280,pass,profile=accurate,7aab6968f20d,15797f15ae99
2026-04-21T10:04:00+09:00,tester_m,Pixel7,Scenario1,manual_text,true,,false,810,pass,typed_text_ok,34f5e200dcd0,f389e328eac8
2026-04-21T10:08:00+09:00,tester_m,Pixel7,Scenario1,stt_record,true,true,false,1780,pass,profile=fast,34f5e200dcd0,f389e328eac8
2026-04-21T10:12:00+09:00,tester_n,GalaxyS22,Scenario1,stt_record,true,true,false,1700,pass,profile=fast,2c757067c06b,d89df04a441e
2026-04-21T10:16:00+09:00,tester_o,iPhone15,Scenario1,stt_record,true,true,false,2250,pass,profile=accurate,bbae6982dc80,b698e12e9490
2026-04-21T10:20:00+09:00,tester_p,Pixel6,Scenario3,retry_after_timeout,true,true,false,2450,pass,profile=balanced,a0547533368b,de239da04abc
2026-04-21T10:24:00+09:00,tester_q,GalaxyA34,Scenario4,empty_audio,true,false,true,2360,pass,profile=balanced,1aa374cd5fb7,d07cb973e8e4
2026-04-21T10:28:00+09:00,tester_r,iPhone14,Scenario1,stt_record,true,true,false,1650,pass,profile=fast,578ae19d0fe6,bf9f23e05df6
2026-04-21T10:32:00+09:00,tester_s,Pixel8,Scenario1,stt_record,true,true,false,1830,pass,profile=balanced,e691b1bbb7d8,181dd3846ee4
2026-04-21T10:36:00+09:00,tester_t,GalaxyS23,Scenario1,stt_record,true,true,false,2210,pass,profile=accurate,d7b8d4e4137c,92a47f9b1185
2026-04-21T10:40:00+09:00,tester_u,iPhone13,Scenario2,stt_fallback,true,false,true,3300,pass,profile=fast,c24c1426f147,474b44bda2db
2026-04-21T10:44:00+09:00,tester_v,Pixel7,Scenario1,manual_text,true,,false,790,pass,typed_text_ok,b8cb240f2ccc,f389e328eac8
2026-04-21T10:48:00+09:00,tester_v,Pixel7,Scenario1,stt_record,true,true,false,1760,pass,profile=fast,b8cb240f2ccc,f389e328eac8
2026-04-21T10:52:00+09:00,tester_w,GalaxyS24,Scenario1,stt_record,true,true,false,1670,pass,profile=fast,a26fe49eb3fd,10d865273040
2026-04-21T10:56:00+09:00,tester_x,iPhone12,Scenario1,stt_record,true,true,false,2260,pass,profile=accurate,34b2d9623ecb,9de12ff5bdf3
