timestamp,tester,device,scenario,step,analyze_ok,stt_ok,fallback_used,latency_ms,outcome,note
2026-04-20T09:05:00+09:00,tester_a,Pixel7,Scenario1,manual_text,true,,false,890,pass,typed_text_ok
2026-04-20T09:08:00+09:00,tester_a,Pixel7,Scenario1,stt_record,true,true,false,1820,pass,profile=balanced
2026-04-20T09:12:00+09:00,tester_b,GalaxyS23,Scenario1,stt_record,true,true,false,1650,pass,profile=fast
2026-04-20T09:16:00+09:00,tester_c,iPhone14,Scenario1,stt_record,true,true,false,2280,pass,profile=accurate
2026-04-20T09:20:00+09:00,tester_d,Pixel8,Scenario2,stt_fallback,true,false,true,3400,pass,profile=balanced
2026-04-20T09:24:00+09:00,tester_e,iPhone13,Scenario3,retry_after_network,true,true,false,2460,pass,profile=balanced
2026-04-20T09:28:00+09:00,tester_f,GalaxyA54,Scenario1,manual_text,true,,false,810,pass,typed_text_ok
2026-04-20T09:31:00+09:00,tester_f,GalaxyA54,Scenario1,stt_record,true,true,false,1710,pass,profile=fast
2026-04-20T09:35:00+09:00,tester_g,Pixel6,Scenario4,short_audio,true,false,true,2550,pass,profile=fast
2026-04-20T09:39:00+09:00,tester_h,iPhone12,Scenario5,drilldown_state,true,,false,760,pass,state_restored
2026-04-20T09:43:00+09:00,tester_h,iPhone12,Scenario5,report_compare,true,,false,900,pass,compare_verified
2026-04-20T09:47:00+09:00,tester_i,GalaxyS24,Scenario6,export_csv,true,,false,1080,pass,export_ok
2026-04-20T09:49:00+09:00,tester_i,GalaxyS24,Scenario6,export_pdf_server,true,,false,1500,pass,export_ok
2026-04-20T09:53:00+09:00,tester_j,Pixel5,Scenario1,stt_record,true,true,false,1760,pass,profile=fast
2026-04-20T09:57:00+09:00,tester_k,iPhoneSE,Scenario1,stt_record,true,true,false,1990,pass,profile=balanced
2026-04-20T10:01:00+09:00,tester_l,GalaxyZ,Scenario2,stt_fallback,true,false,true,3320,pass,profile=accurate
2026-04-20T10:05:00+09:00,tester_m,Pixel7,Scenario1,manual_text,true,,false,840,pass,typed_text_ok
2026-04-20T10:09:00+09:00,tester_m,Pixel7,Scenario1,stt_record,true,true,false,1860,pass,profile=balanced
2026-04-20T10:13:00+09:00,tester_n,GalaxyS22,Scenario1,stt_record,true,true,false,1720,pass,profile=fast
2026-04-20T10:17:00+09:00,tester_o,iPhone15,Scenario1,stt_record,true,true,false,2340,pass,profile=accurate
2026-04-20T10:21:00+09:00,tester_p,Pixel6,Scenario3,retry_after_timeout,true,true,false,2580,pass,profile=balanced
2026-04-20T10:25:00+09:00,tester_q,GalaxyA34,Scenario4,empty_audio,true,false,true,2480,pass,profile=balanced
2026-04-20T10:29:00+09:00,tester_r,iPhone14,Scenario1,stt_record,true,true,false,1680,pass,profile=fast
2026-04-20T10:33:00+09:00,tester_s,Pixel8,Scenario1,stt_record,true,true,false,1940,pass,profile=balanced
2026-04-20T10:37:00+09:00,tester_t,GalaxyS23,Scenario1,stt_record,true,true,false,2290,pass,profile=accurate
2026-04-20T10:41:00+09:00,tester_u,iPhone13,Scenario2,stt_fallback,true,false,true,3380,pass,profile=fast
2026-04-20T10:45:00+09:00,tester_v,Pixel7,Scenario1,manual_text,true,,false,820,pass,typed_text_ok
2026-04-20T10:49:00+09:00,tester_v,Pixel7,Scenario1,stt_record,true,true,false,1870,pass,profile=balanced
2026-04-20T10:53:00+09:00,tester_w,GalaxyS24,Scenario1,stt_record,true,true,false,1700,pass,profile=fast
2026-04-20T10:57:00+09:00,tester_x,iPhone12,Scenario1,stt_record,true,true,false,2360,pass,profile=accurate
